"BEEF_production","BEEF_workers","BEEF_price","BEEF_volume","BEEF_outputInventory","BEEF_inputInventory","BEEF_shortages","FOOD_production","FOOD_workers","FOOD_price","FOOD_volume","FOOD_outputInventory","FOOD_inputInventory","FOOD_shortages"
"7","7","51","6","0","337","false","0","0","95","0","0","33","false"
"7","7","51","7","0","344","false","0","0","95","0","0","33","false"
"7","7","51","7","0","351","false","0","0","95","0","0","33","false"
"7","7","51","7","0","358","false","0","0","95","0","0","33","false"
"7","7","51","7","0","365","false","0","0","95","0","0","33","false"
"7","7","51","7","0","372","false","0","0","95","0","0","33","false"
"7","7","51","7","0","379","false","0","0","95","0","0","33","false"
"7","7","51","7","0","386","false","0","0","95","0","0","33","false"
"7","7","51","7","0","393","false","0","0","95","0","0","33","false"
"7","7","51","7","0","400","false","0","0","95","0","0","33","false"
"7","7","51","7","7","400","false","0","0","95","0","0","33","false"
"7","8","51","0","14","400","false","0","0","95","0","0","33","false"
"8","8","51","0","22","400","false","0","0","95","0","0","33","false"
"8","8","51","0","30","400","false","0","0","95","0","0","33","false"
"8","9","51","0","38","400","false","0","0","95","0","0","33","false"
"8","9","51","0","46","400","false","0","0","95","0","0","33","false"
"9","9","51","0","55","400","false","0","0","95","0","0","33","false"
"9","9","51","0","64","400","false","0","0","95","0","0","33","false"
"9","10","51","0","73","400","false","0","0","95","0","0","33","false"
"10","10","51","0","83","400","false","0","0","95","0","0","33","false"
"10","10","51","0","93","400","false","0","0","95","0","0","33","false"
"10","10","51","0","103","400","false","0","0","95","0","0","33","false"
"10","10","51","0","113","400","false","0","0","95","0","0","33","false"
"10","10","51","0","123","400","false","0","0","95","0","0","33","false"
"10","10","51","0","133","400","false","0","0","95","0","0","33","false"
"10","10","51","0","143","400","false","0","0","95","0","0","33","false"
"10","10","51","0","153","400","false","0","0","95","0","0","33","false"
"10","10","51","0","163","400","false","0","0","95","0","0","33","false"
"10","11","51","0","173","400","false","0","0","95","0","0","33","false"
"11","11","51","0","184","400","false","0","0","95","0","0","33","false"
"12","11","51","0","196","400","false","0","0","95","0","0","33","false"
"11","11","51","0","207","400","false","0","0","95","0","0","33","false"
"11","11","51","0","218","400","false","0","0","95","0","0","33","false"
"11","11","51","0","229","400","false","0","0","95","0","0","33","false"
"11","11","51","0","240","400","false","0","0","95","0","0","33","false"
"11","11","51","0","251","400","false","0","0","95","0","0","33","false"
"11","11","51","0","262","400","false","0","0","95","0","0","33","false"
"11","11","51","0","273","400","false","0","0","95","0","0","33","false"
"11","11","51","0","284","400","false","0","0","95","0","0","33","false"
"11","11","51","0","295","400","false","0","0","95","0","0","33","false"
"11","11","51","0","306","400","false","0","0","95","0","0","33","false"
"11","11","51","0","317","400","false","0","0","95","0","0","33","false"
"11","11","51","0","328","400","false","0","0","95","0","0","33","false"
"11","11","51","0","339","400","false","0","0","95","0","0","33","false"
"11","11","51","0","350","400","false","0","0","95","0","0","33","false"
"11","11","51","0","361","400","false","0","0","95","0","0","33","false"
